task,state,attack,epsilon,epsilon_label,sigma,auc,tpr_at_1pct,auc_sparse,tpr_at_1pct_sparse,n_records,single_feature,n_features_joint
ACSIncome,AL,single,0.1,0.1,48.44805262605389,0.50167775,0.011,0.5152354570637119,0.0,4000,AGEP,10
ACSIncome,AL,joint,0.1,0.1,48.44805262605389,0.5171943749999999,0.01075,0.4808207309388784,0.021739130434782608,4000,AGEP,10
ACSIncome,AL,single,0.5,0.5,9.689610525210778,0.5385715625,0.013,0.5680000000000001,0.08,4000,AGEP,10
ACSIncome,AL,joint,0.5,0.5,9.689610525210778,0.5392648125,0.011,0.5609705989773557,0.013513513513513514,4000,AGEP,10
ACSIncome,AL,single,1.0,1.0,4.844805262605389,0.5526774375,0.0115,0.6575,0.15,4000,AGEP,10
ACSIncome,AL,joint,1.0,1.0,4.844805262605389,0.59200525,0.02025,0.5842114334961217,0.025423728813559324,4000,AGEP,10
ACSIncome,AL,single,2.0,2.0,2.4224026313026945,0.6112016250000001,0.02825,0.5920138888888888,0.08333333333333333,4000,AGEP,10
ACSIncome,AL,joint,2.0,2.0,2.4224026313026945,0.652671875,0.02275,0.6633519743751313,0.009057971014492754,4000,AGEP,10
ACSIncome,AL,single,5.0,5.0,0.9689610525210778,0.769338375,0.10625,0.8140589569160998,0.5714285714285714,4000,AGEP,10
ACSIncome,AL,joint,5.0,5.0,0.9689610525210778,0.836524125,0.1,0.861842382923464,0.13333333333333333,4000,AGEP,10
ACSIncome,AL,single,inf,inf,0.0,1.0,1.0,1.0,1.0,4000,AGEP,10
ACSIncome,AL,joint,inf,inf,0.0,1.0,1.0,1.0,1.0,4000,AGEP,10
ACSIncome,AK,single,0.1,0.1,48.44805262605389,0.5014371586837596,0.011562323745064862,0.6319444444444444,0.125,3546,AGEP,10
ACSIncome,AK,joint,0.1,0.1,48.44805262605389,0.5189010503800029,0.0056401579244218835,0.5304196903866091,0.006825938566552901,3546,AGEP,10
ACSIncome,AK,single,0.5,0.5,9.689610525210778,0.5282750691977074,0.011562323745064862,0.5381944444444444,0.0,3546,AGEP,10
