task,attack,epsilon,epsilon_label,auc_mean,auc_std,tpr01_mean,tpr01_std,tpr01_sparse_mean,tpr01_sparse_std,n_states
ACSEmployment,joint,0.1,0.1,0.51033675375,0.006200668960120274,0.011125000000000001,0.002365919806462646,0.054081591963879454,0.07391606068670892,50
ACSEmployment,joint,0.5,0.5,0.5574855225,0.0064748868572151235,0.017515,0.0028430052007389246,0.09906219612050281,0.10624275356771311,50
ACSEmployment,joint,1.0,1.0,0.61481201875,0.0070674202205627855,0.028624999999999998,0.0037181470313771585,0.09476342183367184,0.08411820051113085,50
ACSEmployment,joint,2.0,2.0,0.7195066375,0.007603875438925143,0.06634000000000001,0.00821114225567047,0.21429700336301294,0.1404213801785232,50
ACSEmployment,joint,5.0,5.0,0.92566178875,0.006480753260746274,0.39451,0.02957630049584309,0.6143840887956127,0.2038122576187517,50
ACSEmployment,joint,inf,inf,1.0,0.0,1.0,0.0,1.0,0.0,50
ACSEmployment,single,0.1,0.1,0.50591673125,0.008119557242218937,0.010705,0.0021961759436598437,0.13837049062049062,0.15508225150521135,50
ACSEmployment,single,0.5,0.5,0.52771913375,0.005914790929441234,0.01343,0.0026864360732223283,0.14806993006993008,0.1989503313084369,50
ACSEmployment,single,1.0,1.0,0.5572894,0.006418599005710663,0.017115000000000002,0.0032349376235982397,0.2055704654822302,0.22709118104272735,50
ACSEmployment,single,2.0,2.0,0.6128496649999999,0.006076081721764968,0.028145000000000003,0.0043369232251936965,0.15141525141525142,0.1658395880396208,50
ACSEmployment,single,5.0,5.0,0.7636075,0.005910706879203417,0.09718500000000001,0.011084877775876575,0.4084521801727684,0.2691983718356947,50
ACSEmployment,single,inf,inf,1.0,0.0,1.0,0.0,1.0,0.0,50
ACSIncome,joint,0.1,0.1,0.5086144356386911,0.005849441225301868,0.010515486160038936,0.002471428065069307,0.0125430923041402,0.006006577744331257,50
ACSIncome,joint,0.5,0.5,0.543201614873745,0.009775593285199686,0.013803912907213223,0.0032840474472203567,0.016635775340681964,0.007529252721325989,50
ACSIncome,joint,1.0,1.0,0.5903325729407151,0.012119381579845129,0.018557882086649543,0.004301948352995483,0.02014015716888513,0.009218241781330372,50
ACSIncome,joint,2.0,2.0,0.6700679479950097,0.024019248192402594,0.03134486823538108,0.010006975992560459,0.03750314399372786,0.017929764713774568,50
ACSIncome,joint,5.0,5.0,0.8561549711012251,0.033753805402316345,0.15888003339095413,0.08037009897391137,0.20489245243959187,0.10660726258955022,50
ACSIncome,joint,inf,inf,1.0,0.0,1.0,0.0,1.0,0.0,50
ACSIncome,single,0.1,0.1,0.5056940307884875,0.006455442273512057,0.010704748780549979,0.0022099376012921605,0.07214962171600389,0.11157622669691147,50
ACSIncome,single,0.5,0.5,0.5290621285561947,0.006349332857144096,0.01285473483160071,0.002760481180202036,0.05530441309340103,0.05938590735729996,50
ACSIncome,single,1.0,1.0,0.5571788214166411,0.005634387807195787,0.016941750310636244,0.0034163327742686884,0.07851284563938539,0.07138935056336689,50
ACSIncome,single,2.0,2.0,0.6119031898360577,0.005020992415613693,0.02797049218980361,0.004449616409532931,0.0957462408281159,0.10452917929120377,50
ACSIncome,single,5.0,5.0,0.7624394804951633,0.0055746717366718075,0.094653488183702,0.010108715469774472,0.27559771957853196,0.16345210533199284,50
ACSIncome,single,inf,inf,1.0,0.0,1.0,0.0,1.0,0.0,50
ACSPublicCoverage,joint,0.1,0.1,0.510818934609972,0.005560507135724109,0.010901696689639268,0.0022984975137614267,0.012931811837134701,0.007562659128619788,50
ACSPublicCoverage,joint,0.5,0.5,0.5540283028675952,0.008478979959342159,0.01491314225720667,0.003032492472025886,0.01941143850378966,0.010348017069634995,50
ACSPublicCoverage,joint,1.0,1.0,0.603176443839111,0.013585560912018454,0.021417969567118663,0.003982707372297963,0.027533603351603948,0.01372462494903614,50
ACSPublicCoverage,joint,2.0,2.0,0.6976165630295209,0.02333166636853312,0.04175048044466385,0.010266979033903402,0.059690216269735814,0.02732632223240901,50
ACSPublicCoverage,joint,5.0,5.0,0.8845351018000633,0.032747209984150996,0.2803533894153565,0.07734971554147878,0.4384031609720624,0.08249567557318747,50
ACSPublicCoverage,joint,inf,inf,1.0,0.0,1.0,0.0,1.0,0.0,50
ACSPublicCoverage,single,0.1,0.1,0.5048570264676038,0.006124363830618245,0.011100863739777757,0.0025204238098476277,0.5227272727272727,0.5523553373805511,50
ACSPublicCoverage,single,0.5,0.5,0.527050830299755,0.006982498201395939,0.012472589618093827,0.002877693077734252,0.23295454545454547,0.20695133908557176,50
ACSPublicCoverage,single,1.0,1.0,0.5583003729364792,0.006999403597887816,0.016645499819158135,0.0031931370343948255,0.0,0.0,50
ACSPublicCoverage,single,2.0,2.0,0.6122898008576483,0.007295034275903392,0.02831297661197672,0.004407141175806178,0.44696969696969696,0.4854990900003671,50
ACSPublicCoverage,single,5.0,5.0,0.7612907980007725,0.006814285009493391,0.09195681973548613,0.010090048528531103,0.4602272727272727,0.3972941364455238,50
ACSPublicCoverage,single,inf,inf,1.0,0.0,1.0,0.0,1.0,0.0,50
ACSTravelTime,joint,0.1,0.1,0.5098911008930873,0.006522668791669395,0.010480907684100196,0.002148820299929129,0.012496044789220475,0.004481964578227239,50
ACSTravelTime,joint,0.5,0.5,0.5518874731147841,0.007429183620055573,0.014169742277102096,0.0030919676809178223,0.016894157059980888,0.00564337908361077,50
ACSTravelTime,joint,1.0,1.0,0.5988702880890215,0.010719904564916328,0.020245824699236085,0.004961328954988331,0.025052287671057667,0.009620353218493891,50
ACSTravelTime,joint,2.0,2.0,0.6931873999427696,0.01830445546668549,0.03766973263021514,0.00939378909208456,0.05052866632884525,0.016002256280451963,50
ACSTravelTime,joint,5.0,5.0,0.8876798497716032,0.023412716678354054,0.22387424437963382,0.06908093885826813,0.333433557079349,0.06128181860426302,50
ACSTravelTime,joint,inf,inf,1.0,0.0,1.0,0.0,1.0,0.0,50
ACSTravelTime,single,0.1,0.1,0.5049274029136899,0.00586565511127952,0.010633439256409208,0.0021442091745438956,0.055708250869802065,0.08036997980935201,50
ACSTravelTime,single,0.5,0.5,0.5271388245772931,0.005754267672789214,0.013180036464323603,0.0027550386421146852,0.06002303435585169,0.06515729727053074,50
ACSTravelTime,single,1.0,1.0,0.5555114055836239,0.006592011078969286,0.01713508415845063,0.002892975933320634,0.08306191374844626,0.11269024423784757,50
ACSTravelTime,single,2.0,2.0,0.6149826574905591,0.0065269512056721395,0.028536009130947955,0.005134498117817746,0.12540779809323355,0.10958614493588871,50
ACSTravelTime,single,5.0,5.0,0.7636765828249464,0.005586947919739845,0.0966743960125105,0.0102693906601741,0.3034332623272951,0.19187515841743735,50
ACSTravelTime,single,inf,inf,1.0,0.0,1.0,0.0,1.0,0.0,50
